#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-10-20 14:15:48.510
#Start: 200 Hz
#Stop: 1e+06 Hz
#Steps: 501
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43531 V
#Offset: -0.000212314 V
#Relative: no
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

#2,4kHz
#raw
#
Frequency (Hz),Channel 1 Magnitude (dB)
200,-0.01101067215104695
203.4360597750091,-0.01090786389327969
206.9311520839055,-0.01098802994785524
210.4862911232644,-0.01150589089189839
214.1025085138619,-0.0119012115303609
217.7808536000272,-0.0122098277816313
221.5223937541381,-0.01216408124694931
225.3282146863496,-0.0123814752607129
229.1994207596417,-0.01267141229412674
233.1371353102796,-0.01264340666755938
237.1425009737823,-0.01304183153194066
241.2166800164876,-0.01326596953117898
245.360854672817,-0.01323106392155651
249.5762274883327,-0.01345022138459193
253.8640216686886,-0.01390022335066227
258.2254814345776,-0.01412628711084481
262.6618723827763,-0.01437503786566885
267.1744818533915,-0.01476403503314258
271.764619303418,-0.01511476944366286
276.4336166867139,-0.01540221193029739
281.1828288405013,-0.01524452632718594
286.0136338785119,-0.01583156333522476
290.9274335908827,-0.01571638750946809
295.925653850924,-0.01652810334495862
301.009745028876,-0.01682241629498308
306.1811824127736,-0.01706356762242893
311.4414666365398,-0.01731475654494683
316.7921241154379,-0.01740956434684803
322.2347074890019,-0.01815334943301847
327.7707960715757,-0.01800427429265977
333.4019963105972,-0.01877132194478476
339.12994225275,-0.01892656775230429
344.9562960181291,-0.01928791548327581
350.8827482825494,-0.01973878230249824
356.9110187681409,-0.02024357033438127
363.0428567423744,-0.02075357960120717
369.2800415256586,-0.02124189993221061
375.6243830076585,-0.02178795383201277
382.0777221724845,-0.02183684030362533
388.6419316329047,-0.02234073285392953
395.3189161737329,-0.02291026028765836
402.1106133045566,-0.02281721986164355
409.0189938219571,-0.02314281386116467
416.0460623813885,-0.02398523499567533
423.1938580788869,-0.02423888726688127
430.4644550427657,-0.02498782311999611
437.8599630354839,-0.02519499001181371
445.3825280658501,-0.02617707604994327
453.0343330117446,-0.02666857156243582
460.8175982535432,-0.02722060599238007
468.7345823184201,-0.0278461104760984
476.78758253572,-0.02820576091226987
484.9789357035939,-0.02885986086284891
493.3110187670836,-0.02927307374694502
501.7862495078551,-0.03000671759179804
510.407087245788,-0.03079965063241995
519.1760335526124,-0.03140792084387414
528.0956329778068,-0.03197060969480444
537.1684737869717,-0.03259224625307574
546.3971887128843,-0.03298007796564498
555.7844557194561,-0.03429456682587906
565.3329987788208,-0.03460845155714109
575.0455886617671,-0.03570683730788851
